,Retrieve,Internet,ChatMemory,RunCode
Can you summarize this PDF?,1,0,0,0
Can you fact-check this statement?,0,1,0,0
Can you remember what I said earlier in the chat?,0,0,1,0
Can you continue our earlier conversation?,0,0,1,0
Can you retrieve a document?,1,0,0,0
Can you retrieve a chat memory?,0,0,1,0
Can you retrieve an internet fact?,0,1,0,0
Can you check online?,0,1,0,0
Can you check the facts?,0,1,0,0
How's the weather today?,0,1,0,0
Can you summarize this document?,1,0,0,0
Check online,0,1,0,0
Look up in the internet,0,1,0,0
Look up in the web,0,1,0,0
Can you find this document?,1,0,0,0
Do you remember what we talked about?,0,0,1,0
The topic we discussed earlier,0,0,1,0
Can you get the PDF we talked about?,1,0,0,0
Can you verify this info?,0,1,0,0
What did I say before about that?,0,0,1,0
Check if this is true,0,1,0,0
Did I already ask you this earlier?,0,0,1,0
Find that file again,1,0,0,0
Can you access my previous chats?,0,0,1,0
Is this information accurate?,0,1,0,0
Retrieve the last document,1,0,0,0
Can you look this up for me?,0,1,0,0
Can you see what we discussed last time?,0,0,1,0
Was that in the file I gave you?,1,0,0,0
Did we already talk about this?,0,0,1,0
Does this match what's online?,0,1,0,0
Open the document again,1,0,0,0
What's the source of that info?,0,1,0,0
Pull up the doc we used,1,0,0,0
Can you show me that PDF again?,1,0,0,0
Can you validate this claim?,0,1,0,0
Remind me what I said before,0,0,1,0
What did we conclude earlier?,0,0,1,0
Can you double-check this with online sources?,0,1,0,0
Where did that info come from?,0,1,0,0
Bring back the document we were using,1,0,0,0
Can you confirm this is correct?,0,1,0,0
Can you reaccess our previous conversation?,0,0,1,0
Was that mentioned in the previous file?,1,0,0,0
Do you still remember our last discussion?,0,0,1,0
Please find the article I gave you,1,0,0,0
Is this factually accurate?,0,1,0,0
"Summarize the file again, please",1,0,0,0
Can you recall my previous input?,0,0,1,0
Was that in the chat we had yesterday?,0,0,1,0
Bring up the last thing I uploaded,1,0,0,0
Check this against online data,0,1,0,0
Review what we discussed before,0,0,1,0
Locate the PDF we used earlier,1,0,0,0
Can you get the notes I shared?,1,0,0,0
Verify this with trusted sources,0,1,0,0
What was the answer you gave me earlier?,0,0,1,0
Can you access the previous PDF?,1,0,0,0
Cross-check this with real data,0,1,0,0
Didn't we go over this before?,0,0,1,0
Reopen the document from earlier,1,0,0,0
Does this align with what's online?,0,1,0,0
Recall what we discussed on this,0,0,1,0
Can you load the file I uploaded before?,1,0,0,0
Fact-check this statement for accuracy,0,1,0,0
What was my last question about this?,0,0,1,0
Bring up the previous reference document,1,0,0,0
Check online databases for this info,0,1,0,0
Go back to what we said earlier,0,0,1,0
Was this mentioned in the uploaded file?,1,0,0,0
Can you confirm this using external sources?,0,1,0,0
Pull up the chat history,0,0,1,0
Look at the previous version of the file,1,0,0,0
Is this consistent with public knowledge?,0,1,0,0
Can you repeat what I told you earlier?,0,0,1,0
Can you fetch the document from earlier?,1,0,0,0
Can you confirm this using current data?,0,1,0,0
Do you recall my original request?,0,0,1,0
Show me the file you processed before,1,0,0,0
Is that what official sources say?,0,1,0,0
Remind me what we were working on,0,0,1,0
Open the resource we talked about,1,0,0,0
Compare this with verified sources,0,1,0,0
What did I mention previously?,0,0,1,0
Locate the earlier document version,1,0,0,0
Does this check out online?,0,1,0,0
What were my exact words again?,0,0,1,0
Bring back the uploaded file,1,0,0,0
Check the company's founding date in 'about_us.pdf' against their official website.,1,1,0,0
Find the Python code example in 'tutorial_part3.docx' and execute it.,1,0,0,1
Look up reviews for the specific laptop model I mentioned earlier in our conversation.,0,1,1,0
Search online for a Python library to read Excel files and run a basic example to read 'data.xlsx'.,1,1,0,1
"Execute the code block I shared previously, the one that calculates Fibonacci numbers.",0,0,1,1
Retrieve the 'api_specs.yaml' file and compare the endpoint definition with the example usage I provided in the chat.,1,0,1,0
"Find the performance benchmarks in 'results_summary.pdf', verify the competitor data online, and check if it matches the competitor name I gave you earlier.",1,1,1,0
"Get the script 'image_processor.py' from the document, look up the documentation for the 'Pillow' library's resize function online, and run the script on 'logo.png'.",1,1,0,1
Use the configuration parameters we discussed to run the simulation defined in the attached 'simulation_model.py' file.,1,0,1,1
Remember the 'ModuleNotFoundError' I pasted? Search online for common causes related to virtual environments and try running the import statement from our chat again after suggesting a fix.,0,1,1,1
"Retrieve the 'algorithm_pseudocode.txt' file, implement the described algorithm in Python, search online for standard test vectors for this algorithm, and run your implementation against them.",1,1,0,1
Cross-reference the customer IDs mentioned in 'feedback_log.csv' with the user list I provided in our chat earlier.,1,0,1,0
Find the code snippet for database connection in the 'config_guide.md' document and execute it to test the connection.,1,0,0,1
Search online for tutorials on the 'React Hooks' concept we were discussing.,0,1,1,0
Find a code example online for making HTTP GET requests in Java and run it to fetch the content of 'example.com'.,0,1,0,1
Run the data validation script I provided earlier against the 'new_dataset.csv' file I just uploaded.,1,0,1,1
Check the historical event date mentioned in 'chapter_5.pdf' using Wikipedia and compare it to the date I mentioned in our chat.,1,1,1,0
"Retrieve the 'data_cleaning.ipynb' notebook, execute the cell tagged 'load_data', then find online documentation for the `fillna` method used in the next cell.",1,1,0,1
Use the threshold value we agreed upon to modify the filtering function in the 'analysis_tool.py' script (from the attached file) and run the modified function.,1,0,1,1
"Search online for solutions to the specific SQL error code I shared, and try running the corrected query from our discussion.",0,1,1,1
"Get the 'benchmark.py' script, check online for the latest stable version of the 'numpy' library it imports, update the script if necessary, and run it.",1,1,0,1
Compare the project milestones listed in 'plan.docx' with the completion dates I mentioned in our chat history.,1,0,1,0
Find the setup instructions in 'README.md' and execute the command `pip install -r requirements.txt`.,1,0,0,1
Look up the current best practices for API authentication that we talked about earlier.,0,1,1,0
"Find a Python code snippet online for calculating standard deviation and run it on the list `[2, 4, 4, 4, 5, 5, 7, 9]`.",0,1,0,1
Run the exact SQL query I pasted 10 minutes ago.,0,0,1,1
"Retrieve the 'user_manual.pdf', find the section on 'Advanced Settings', and check online if the default port number mentioned is standard for that type of service.",1,1,0,0
